alpha,beta,gamma,rho_norm,amp_baseline,amp_full
0.0,0.0,0.0,0.5,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,1.5,1.0,1.0
0.0,0.0,0.0,2.0,1.0,1.0
0.0,0.0,0.0,2.5,1.0,1.0
0.0,0.0,0.0,3.0,1.0,1.0
0.0,0.0,0.0,3.5,1.0,1.0
0.0,0.0,0.0,4.0,1.0,1.0
0.0,0.0,0.0,4.5,1.0,1.0
0.0,0.0,0.0,5.0,1.0,1.0
0.0,0.0,0.05,0.5,1.0,1.0225
0.0,0.0,0.05,1.0,1.0,1.045
0.0,0.0,0.05,1.5,1.0,1.0675000000000001
0.0,0.0,0.05,2.0,1.0,1.09
0.0,0.0,0.05,2.5,1.0,1.1125
0.0,0.0,0.05,3.0,1.0,1.135
0.0,0.0,0.05,3.5,1.0,1.1575
0.0,0.0,0.05,4.0,1.0,1.18
0.0,0.0,0.05,4.5,1.0,1.2025000000000001
0.0,0.0,0.05,5.0,1.0,1.225
0.0,0.0,0.1,0.5,1.0,1.045
0.0,0.0,0.1,1.0,1.0,1.09
0.0,0.0,0.1,1.5,1.0,1.135
0.0,0.0,0.1,2.0,1.0,1.18
0.0,0.0,0.1,2.5,1.0,1.225
0.0,0.0,0.1,3.0,1.0,1.27
0.0,0.0,0.1,3.5,1.0,1.315
0.0,0.0,0.1,4.0,1.0,1.36
0.0,0.0,0.1,4.5,1.0,1.405
0.0,0.0,0.1,5.0,1.0,1.45
0.0,0.0,0.15,0.5,1.0,1.0675
0.0,0.0,0.15,1.0,1.0,1.135
0.0,0.0,0.15,1.5,1.0,1.2025
0.0,0.0,0.15,2.0,1.0,1.27
0.0,0.0,0.15,2.5,1.0,1.3375
0.0,0.0,0.15,3.0,1.0,1.405
0.0,0.0,0.15,3.5,1.0,1.4725000000000001
0.0,0.0,0.15,4.0,1.0,1.54
0.0,0.0,0.15,4.5,1.0,1.6075
0.0,0.0,0.15,5.0,1.0,1.675
0.0,0.0,0.2,0.5,1.0,1.09
0.0,0.0,0.2,1.0,1.0,1.18
0.0,0.0,0.2,1.5,1.0,1.27
0.0,0.0,0.2,2.0,1.0,1.36
0.0,0.0,0.2,2.5,1.0,1.45
0.0,0.0,0.2,3.0,1.0,1.54
0.0,0.0,0.2,3.5,1.0,1.6300000000000001
0.0,0.0,0.2,4.0,1.0,1.7200000000000002
0.0,0.0,0.2,4.5,1.0,1.81
0.0,0.0,0.2,5.0,1.0,1.9
0.0,0.0,0.25,0.5,1.0,1.1125
0.0,0.0,0.25,1.0,1.0,1.225
0.0,0.0,0.25,1.5,1.0,1.3375
0.0,0.0,0.25,2.0,1.0,1.45
0.0,0.0,0.25,2.5,1.0,1.5625
0.0,0.0,0.25,3.0,1.0,1.675
0.0,0.0,0.25,3.5,1.0,1.7875
0.0,0.0,0.25,4.0,1.0,1.9
0.0,0.0,0.25,4.5,1.0,2.0125
0.0,0.0,0.25,5.0,1.0,2.125
0.0,0.0,0.3,0.5,1.0,1.135
0.0,0.0,0.3,1.0,1.0,1.27
0.0,0.0,0.3,1.5,1.0,1.405
0.0,0.0,0.3,2.0,1.0,1.54
0.0,0.0,0.3,2.5,1.0,1.675
0.0,0.0,0.3,3.0,1.0,1.81
0.0,0.0,0.3,3.5,1.0,1.945
0.0,0.0,0.3,4.0,1.0,2.08
0.0,0.0,0.3,4.5,1.0,2.215
0.0,0.0,0.3,5.0,1.0,2.35
0.0,0.0,0.35,0.5,1.0,1.1575
0.0,0.0,0.35,1.0,1.0,1.315
0.0,0.0,0.35,1.5,1.0,1.4725
0.0,0.0,0.35,2.0,1.0,1.63
0.0,0.0,0.35,2.5,1.0,1.7875
0.0,0.0,0.35,3.0,1.0,1.9449999999999998
0.0,0.0,0.35,3.5,1.0,2.1025
0.0,0.0,0.35,4.0,1.0,2.26
0.0,0.0,0.35,4.5,1.0,2.4175
0.0,0.0,0.35,5.0,1.0,2.575
0.0,0.0,0.4,0.5,1.0,1.18
0.0,0.0,0.4,1.0,1.0,1.36
0.0,0.0,0.4,1.5,1.0,1.54
0.0,0.0,0.4,2.0,1.0,1.7200000000000002
0.0,0.0,0.4,2.5,1.0,1.9
0.0,0.0,0.4,3.0,1.0,2.08
0.0,0.0,0.4,3.5,1.0,2.2600000000000002
0.0,0.0,0.4,4.0,1.0,2.4400000000000004
0.0,0.0,0.4,4.5,1.0,2.62
0.0,0.0,0.4,5.0,1.0,2.8
0.0,0.0,0.45,0.5,1.0,1.2025000000000001
0.0,0.0,0.45,1.0,1.0,1.405
0.0,0.0,0.45,1.5,1.0,1.6075
0.0,0.0,0.45,2.0,1.0,1.81
0.0,0.0,0.45,2.5,1.0,2.0125
0.0,0.0,0.45,3.0,1.0,2.215
0.0,0.0,0.45,3.5,1.0,2.4175
0.0,0.0,0.45,4.0,1.0,2.62
0.0,0.0,0.45,4.5,1.0,2.8225
0.0,0.0,0.45,5.0,1.0,3.025
0.0,0.0,0.5,0.5,1.0,1.225
0.0,0.0,0.5,1.0,1.0,1.45
0.0,0.0,0.5,1.5,1.0,1.675
0.0,0.0,0.5,2.0,1.0,1.9
0.0,0.0,0.5,2.5,1.0,2.125
0.0,0.0,0.5,3.0,1.0,2.35
0.0,0.0,0.5,3.5,1.0,2.575
0.0,0.0,0.5,4.0,1.0,2.8
0.0,0.0,0.5,4.5,1.0,3.025
0.0,0.0,0.5,5.0,1.0,3.25
0.0,0.1,0.0,0.5,1.0,1.09
0.0,0.1,0.0,1.0,1.0,1.09
0.0,0.1,0.0,1.5,1.0,1.09
0.0,0.1,0.0,2.0,1.0,1.09
0.0,0.1,0.0,2.5,1.0,1.09
0.0,0.1,0.0,3.0,1.0,1.09
0.0,0.1,0.0,3.5,1.0,1.09
0.0,0.1,0.0,4.0,1.0,1.09
0.0,0.1,0.0,4.5,1.0,1.09
0.0,0.1,0.0,5.0,1.0,1.09
0.0,0.1,0.05,0.5,1.0,1.1125
0.0,0.1,0.05,1.0,1.0,1.135
0.0,0.1,0.05,1.5,1.0,1.1575000000000002
0.0,0.1,0.05,2.0,1.0,1.1800000000000002
0.0,0.1,0.05,2.5,1.0,1.2025000000000001
0.0,0.1,0.05,3.0,1.0,1.225
0.0,0.1,0.05,3.5,1.0,1.2475
0.0,0.1,0.05,4.0,1.0,1.27
0.0,0.1,0.05,4.5,1.0,1.2925
0.0,0.1,0.05,5.0,1.0,1.3150000000000002
0.0,0.1,0.1,0.5,1.0,1.135
0.0,0.1,0.1,1.0,1.0,1.1800000000000002
0.0,0.1,0.1,1.5,1.0,1.225
0.0,0.1,0.1,2.0,1.0,1.27
0.0,0.1,0.1,2.5,1.0,1.3150000000000002
0.0,0.1,0.1,3.0,1.0,1.36
0.0,0.1,0.1,3.5,1.0,1.4050000000000002
0.0,0.1,0.1,4.0,1.0,1.4500000000000002
0.0,0.1,0.1,4.5,1.0,1.495
0.0,0.1,0.1,5.0,1.0,1.54
0.0,0.1,0.15,0.5,1.0,1.1575000000000002
0.0,0.1,0.15,1.0,1.0,1.225
0.0,0.1,0.15,1.5,1.0,1.2925
0.0,0.1,0.15,2.0,1.0,1.36
0.0,0.1,0.15,2.5,1.0,1.4275000000000002
0.0,0.1,0.15,3.0,1.0,1.495
0.0,0.1,0.15,3.5,1.0,1.5625
0.0,0.1,0.15,4.0,1.0,1.6300000000000001
0.0,0.1,0.15,4.5,1.0,1.6975
0.0,0.1,0.15,5.0,1.0,1.7650000000000001
0.0,0.1,0.2,0.5,1.0,1.1800000000000002
0.0,0.1,0.2,1.0,1.0,1.27
0.0,0.1,0.2,1.5,1.0,1.36
0.0,0.1,0.2,2.0,1.0,1.4500000000000002
0.0,0.1,0.2,2.5,1.0,1.54
0.0,0.1,0.2,3.0,1.0,1.6300000000000003
0.0,0.1,0.2,3.5,1.0,1.7200000000000002
0.0,0.1,0.2,4.0,1.0,1.81
0.0,0.1,0.2,4.5,1.0,1.9000000000000001
