rank,source_id,ra,dec,priority_score,tier,gaia_astrometry_snr,ps1_extension,ps1_color,dsc_probs
1,3.6632197317983616e+18,204.9924534365748,0.8340056183165048,9,T1_STRONG_GALAXY,"P=0.3, PM=1.0",Δ=4.25,g-r=0.28,Gal=1.00
2,8.493501280441729e+17,159.68868012182614,53.50068928752989,4,T2_PROBABLE_GALAXY,,Δ=1013.88,g-r=-2.38,
3,2.5321920119609656e+18,15.790347795171488,-3.049142065192353,4,T2_PROBABLE_GALAXY,,Δ=1012.28,g-r=-4.70,
4,3.973101935737505e+18,174.9846140714504,16.954960854256242,4,T2_PROBABLE_GALAXY,,Δ=1012.16,g-r=-3.03,
5,4242449245348367e+18,174.93761817979706,31.932732228951195,4,T2_PROBABLE_GALAXY,,Δ=7.03,g-r=-2.89,
6,5.739733550652282e+18,140.9048325979155,-10.436285193265658,4,T2_PROBABLE_GALAXY,,Δ=4.48,g-r=0.24,
7,2.374402820540536e+18,9.7856708074862,-14.174742806097267,4,T2_PROBABLE_GALAXY,,Δ=4.45,g-r=0.19,
8,1.1374490781973892e+18,122.90275673050354,76.42140142585686,4,T2_PROBABLE_GALAXY,,Δ=4.44,g-r=-0.13,
9,7.804426004603855e+17,159.78942446709763,41.68665431517219,4,T2_PROBABLE_GALAXY,,Δ=3.51,g-r=-0.02,
10,2.62190948502309e+18,339.5560993703906,-7.034524692506886,4,T2_PROBABLE_GALAXY,,Δ=3.05,g-r=-0.29,
11,3.870568662516154e+18,159.5333278825914,10.380798213300029,4,T2_PROBABLE_GALAXY,,Δ=2.59,g-r=0.41,
12,7.951633388781883e+17,149.69864584033135,34.78631495859457,4,T2_PROBABLE_GALAXY,,Δ=2.20,g-r=0.04,
13,1.284032772956123e+18,216.2512907767356,29.28525268616037,4,T2_PROBABLE_GALAXY,,Δ=2.20,g-r=0.10,
14,2.8227715333619364e+18,355.75685209363206,19.424111517532666,4,T2_PROBABLE_GALAXY,,Δ=2.06,g-r=0.12,
15,1227816977324792e+18,139.18965014291987,53.44286358756708,4,T2_PROBABLE_GALAXY,,Δ=2.06,g-r=-0.07,
16,7.584918128843745e+17,169.52285456167112,34.1837107347876,4,T2_PROBABLE_GALAXY,,Δ=1.70,g-r=-0.25,
17,1.5729239169419402e+18,183.23279842457487,53.460458333848536,4,T2_PROBABLE_GALAXY,,Δ=1.69,g-r=0.20,
18,7.852527533782668e+17,169.61125766923996,45.689900549592885,4,T2_PROBABLE_GALAXY,,Δ=1.64,g-r=-0.02,
19,1.4038261754152005e+18,239.6792103266316,51.43528622761492,4,T2_PROBABLE_GALAXY,,Δ=1.55,g-r=0.20,
20,4.5750904618218455e+18,257.3127608903683,28.446285827962704,4,T2_PROBABLE_GALAXY,,Δ=1.18,g-r=-0.17,
21,6.915387015781933e+17,135.19956395114443,26.02639204112258,4,T2_PROBABLE_GALAXY,,Δ=0.96,g-r=-0.02,
22,8.584274898856681e+17,175.32364589875846,59.95815023275538,4,T2_PROBABLE_GALAXY,,Δ=0.91,g-r=0.24,
23,396654657160468e+18,123.71506774743926,6.174758450681816,4,T2_PROBABLE_GALAXY,,Δ=0.88,g-r=0.34,
24,8.122453214600602e+17,139.6685701559946,39.45841454191138,4,T2_PROBABLE_GALAXY,,Δ=0.84,g-r=0.06,
