ra_bin,dec_bin,cf,star_count,center_ra,center_dec
5,2,0.9278412251509078,447,133.44947772782214,-48.128995275916296
9,2,0.8991318874931459,428,245.77917741583173,-54.49789899643844
10,5,0.8316184402145338,456,289.7564464385898,30.924385153096967
9,1,0.8238142791131047,448,252.02773492643564,-60.954482928111574
10,4,0.8115116108764409,818,299.70985140155256,10.707128862170698
11,4,0.7696574464281235,45,300.0230360839131,6.192344832225397
6,2,0.6988527333078438,449,157.37262276560003,-33.06242062850491
6,3,0.6746652864872308,832,168.524198064495,-6.372593403000981
3,5,0.6639390054876834,858,75.84138707794452,36.63702321952277
4,5,0.6625224508108196,861,114.93360356856391,37.84522119476848
9,3,0.6620865612942135,415,241.1394787855067,-6.516327541549172
2,4,0.6509963918491551,421,55.52900660127706,23.249305726938413
6,4,0.6402860931790579,384,171.25478151220207,16.71896214784068
5,3,0.5745576046334364,426,139.48025657506446,-16.90972889927632
3,3,0.5322572416358715,438,68.21573070215949,-14.970360954400203
12,5,0.5157797031361212,459,348.2955626511584,31.497517152360782
9,5,0.49263794130299393,423,245.7289829923609,51.82903437833563
4,6,0.46309280879604287,440,103.81508824696185,70.277819480471
1,5,0.4517726202940984,447,15.772942722470184,45.8232959230113
2,5,0.4089118428635846,878,48.590163378307686,46.15426773585126
9,6,0.372166043151429,445,268.1165701507339,72.03236443214273
