realization,purity,contamination,cluster_median,field_median,delta
0,1.0,0.0,0.8531058757242549,0.977327248772123,0.12422137304786807
1,1.0,0.0,0.8496844454905952,0.9995978400297365,0.14991339453914132
2,1.0,0.0,0.8521434156390446,0.9730837580955152,0.12094034245647056
3,1.0,0.0,0.8505608051468023,1.0338267610520377,0.18326595590523542
4,1.0,0.0,0.8579237820287555,0.9776974643937416,0.11977368236498609
5,1.0,0.0,0.8465934147209031,0.9806499964763655,0.13405658175546242
6,1.0,0.0,0.8458289938029898,0.9783920376335977,0.1325630438306079
7,1.0,0.0,0.846709099549975,0.9773265227912984,0.13061742324132342
8,1.0,0.0,0.8539068884555203,0.9714424678674574,0.11753557941193704
9,1.0,0.0,0.8513155648289179,0.9595267592305138,0.10821119440159588
10,1.0,0.0,0.8445013603834866,0.9818082814560118,0.1373069210725253
11,1.0,0.0,0.8532744155641432,0.9569418128798366,0.10366739731569341
12,1.0,0.0,0.8478460465151592,0.9909397576372923,0.1430937111221331
13,1.0,0.0,0.8484266532802546,0.9774907049248409,0.12906405164458634
14,1.0,0.0,0.8510754437006163,1.0256954400368314,0.17461999633621517
15,1.0,0.0,0.8475935165863782,0.9853431636375957,0.1377496470512175
16,1.0,0.0,0.8525157355491486,0.9732278553465403,0.12071211979739171
17,1.0,0.0,0.8480942075758863,0.9978981155778783,0.14980390800199206
18,1.0,0.0,0.8478737768539604,0.985412591839406,0.13753881498544562
19,1.0,0.0,0.8457780467105763,1.0044289998947296,0.15865095318415323
20,1.0,0.0,0.8435956086088512,0.9652430473041709,0.12164743869531969
21,1.0,0.0,0.8538993730113662,1.017694137873625,0.16379476486225886
22,1.0,0.0,0.8582597364926416,0.956675019207655,0.09841528271501332
23,1.0,0.0,0.8483739429734152,1.0230989279124467,0.17472498493903155
24,1.0,0.0,0.8515006740686105,0.9548047548773999,0.10330408080878939
25,1.0,0.0,0.849172975216868,0.9832721334674592,0.13409915825059127
26,1.0,0.0,0.8514709419215096,1.0072021859149747,0.15573124399346505
27,1.0,0.0,0.8529172618607307,0.9835125422956005,0.1305952804348698
28,1.0,0.0,0.8530721975952675,0.9820697929149879,0.12899759531972033
29,1.0,0.0,0.8494456718012509,1.0025061612663837,0.15306048946513284
30,1.0,0.0,0.8504436858572046,1.0097277038135237,0.15928401795631908
31,1.0,0.0,0.8454277109013778,0.9990784239230999,0.15365071302172206
32,1.0,0.0,0.8525569481068239,0.9438096591407241,0.0912527110339002
33,1.0,0.0,0.8475555215207982,0.9649615783280694,0.11740605680727123
34,1.0,0.0,0.8530300843576923,0.9880416687212822,0.13501158436358984
35,1.0,0.0,0.8507543097712748,1.0085089046551967,0.15775459488392196
36,1.0,0.0,0.8504748452355633,0.978262820172163,0.12778797493659977
37,1.0,0.0,0.844896387323512,0.973965917001056,0.12906952967754393
38,1.0,0.0,0.8506409896439525,1.0017077949165476,0.15106680527259508
39,1.0,0.0,0.8441899105062715,0.9513837773122042,0.10719386680593279
40,1.0,0.0,0.8527270106530442,0.967842312372124,0.1151153017190798
41,1.0,0.0,0.8518655619627742,0.9853770953059007,0.1335115333431265
42,1.0,0.0,0.8451861631419774,0.9865785837599381,0.14139242061796076
43,1.0,0.0,0.8468897497236776,0.9977399009821729,0.15085015125849532
44,1.0,0.0,0.8473238778607798,0.9834366641690571,0.13611278630827728
45,1.0,0.0,0.8502860453915916,0.9876930500041301,0.13740700461253852
46,1.0,0.0,0.8479337255512658,1.0151199063794851,0.16718618082821934
47,1.0,0.0,0.8508691055860761,0.9633522184383942,0.11248311285231816
48,1.0,0.0,0.8433171025879846,1.0032757976416629,0.1599586950536782
49,1.0,0.0,0.8463955105799927,0.9904302622355201,0.14403475165552737
0,0.9,0.09999999999999998,0.8136096322723034,0.996049591367958,0.18243995909565458
1,0.9,0.09999999999999998,0.8126139325609292,1.0165961328072188,0.20398220024628966
2,0.9,0.09999999999999998,0.8111028069513492,1.0180487703217564,0.20694596337040727
3,0.9,0.09999999999999998,0.8571624443398862,0.9750310561433877,0.1178686118035015
