#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-07-09T06:10:50 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-09T06:10:50	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A+A/633/A99/members&-out.max=unlimited&-c=56.75+24.11&-c.r=210&Proba=%3E%3D0.9	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	-c=056.750000+24.110000,rm=210.	
#Constraint Proba=>=0.9

#RESOURCE=yCat_36330099
#Name: J/A+A/633/A99
#Title: Gaia DR2 open clusters in the Milky Way. II (Cantat-Gaudin+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/a+a/633/a99	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/633/a99	    IVOID of underlying data collection
#INFO	creator=Cantat-Gaudin T.	    First author or institution
#INFO	cites=bibcode:2020A&A...633A..99C	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/633/A99	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36330099	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-03-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_633_A99_members:
#Name: J/A+A/633/A99/members
#Title: *Members
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	Source	(I19)	Gaia DR2 source ID (source_id)	[ucd=meta.id;meta.main]
#Column	Plx	(F10.4)	Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	pmRA	(F9.3)	Proper motion in right ascension direction (pmRA*cosDE) (pmra)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	Proper motion in declination direction (pmdec)	[ucd=pos.pm;pos.eq.dec]
#Column	RV	(F24.19)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=phys.veloc;pos.heliocentric]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag)	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F7.4)	? BP-RP colour (bp_rp)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	Proba	(F4.2)	Membership probability (proba) (1)	[ucd=stat.probability]
#Column	Cluster	(a17)	Cluster name (cluster)	[ucd=meta.id.parent]
#Column	_RA.icrs	(F15.11)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F15.11)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
RA_ICRS	DE_ICRS	Source	Plx	pmRA	pmDE	RV	Gmag	BP-RP	Proba	Cluster	_RA.icrs	_DE.icrs
deg	deg	 	mas	mas/yr	mas/yr	km/s	mag	mag	 	 	deg	deg
---------------	---------------	-------------------	----------	---------	---------	------------------------	-------	-------	----	-----------------	---------------	---------------
 57.13271111468	 24.03280935648	  66523103479455744	    6.8976	   18.418	  -44.724	                        	16.8351	 2.9201	0.90	Melotte_22       	 57.13262428990	+24.03300191853
 57.37428121858	 23.64852185217	  66451429065390080	    6.9395	   19.591	  -46.387	                        	16.7999	 3.1284	1.00	Melotte_22       	 57.37418913382	+23.64872157481
 56.59367689072	 23.48543411383	  64981863053470592	    6.9721	   20.015	  -44.944	                        	17.2609	 3.2951	1.00	Melotte_22       	 56.59358292972	+23.48562762139
 56.46271554125	 23.62128453386	  65173620458875008	    6.9820	   19.787	  -44.451	                        	17.0149	 2.5486	0.90	Melotte_22       	 56.46262255638	+23.62147592212
 55.26734419833	 25.50698736641	  68605058807852928	    6.9846	   19.999	  -45.783	                        	17.9480	 3.3399	1.00	Melotte_22       	 55.26724879355	+25.50718448789
 57.14795394453	 24.20069889991	  66719194505127168	    6.9862	   20.518	  -46.273	                        	17.4498	 3.1383	1.00	Melotte_22       	 57.14785709155	+24.20089813066
 56.82535301126	 24.39057153886	  66734720809017856	    6.9890	   21.401	  -45.705	   2.8233022706683428282	12.2439	 1.4993	1.00	Melotte_22       	 56.82525184003	+24.39076832363
 57.19179284625	 24.16998503207	  66531178017967872	    6.9898	   19.193	  -45.385	                        	16.6089	 2.8568	1.00	Melotte_22       	 57.19170226994	+24.17018043772
 57.30516061434	 21.36676205268	  63692475216749312	    6.9900	   19.836	  -45.667	                        	17.9130	 3.2694	1.00	Melotte_22       	 57.30506890382	+21.36695867412
 57.55422883049	 24.35182421975	  66555573432261120	    6.9942	   19.088	  -46.759	                        	15.3494	       	0.90	Melotte_22       	 57.55413861875	+24.35202554278
 56.21472709503	 25.08778100859	  69837134602589952	    6.9965	   19.851	  -45.767	                        	17.0075	 3.1193	1.00	Melotte_22       	 56.21463272139	+25.08797806203
 55.90868536558	 26.61231991906	  70313016978627584	    6.9980	   19.098	  -43.783	   0.6055486134584597835	13.4081	 1.6880	0.90	Melotte_22       	 55.90859339459	+26.61250843076
 56.01050693852	 21.22095174448	  63546038305742720	    7.0040	   19.765	  -43.906	                        	16.9381	 3.1070	0.90	Melotte_22       	 56.01041565064	+21.22114078329
 56.93292996383	 26.22401792604	  70060610341280128	    7.0084	   20.116	  -44.980	                        	16.8486	 3.1067	0.90	Melotte_22       	 56.93283341583	+26.22421158912
 55.47107488714	 27.07847632296	  71103428400426368	    7.0144	   20.324	  -45.774	                        	16.9285	 3.1452	0.90	Melotte_22       	 55.47097660669	+27.07867340710
 54.42237314789	 22.28848123692	  64574352259640192	    7.0145	   20.403	  -44.862	                        	17.3388	 3.2980	0.90	Melotte_22       	 54.42227821052	+22.28867439298
 56.12540143007	 25.59621679289	  69932276717968512	    7.0163	   20.048	  -43.539	                        	14.3560	 2.1364	0.90	Melotte_22       	 56.12530572013	+25.59640425406
 55.73439540607	 22.37725203803	  64438184617001472	    7.0219	   20.443	  -45.971	                        	17.8632	 3.6715	0.90	Melotte_22       	 55.73430021788	+22.37744996965
 55.67856470591	 25.28090337683	  69898810332838400	    7.0221	   19.708	  -43.295	                        	13.7703	 1.8127	1.00	Melotte_22       	 55.67847086438	+25.28108978653
