cluster,bootstrap_id,R,real_error,null_mean
pleiades,1,2.9413059487754974e-05,2.2032549163914926e-05,0.7490736954136769
pleiades,2,2.6428561963856216e-05,1.985272299195477e-05,0.7511843822265251
pleiades,3,2.5818168061808704e-05,1.8694058785378144e-05,0.7240660429750306
pleiades,4,2.7502865126449007e-05,1.9996450952085796e-05,0.7270679203838866
pleiades,5,2.9076731441757894e-05,2.1027180564599948e-05,0.7231617696341974
pleiades,6,2.722954665924387e-05,1.9532132406962366e-05,0.7173139035839075
pleiades,7,2.3127147143177194e-05,1.6621062573474104e-05,0.7186819226156708
pleiades,8,3.205514608157279e-05,2.3576400870338286e-05,0.7354950375313187
pleiades,9,2.387190110846267e-05,1.794750173977062e-05,0.7518254058705098
pleiades,10,2.2276015417812258e-05,1.6703862184278547e-05,0.7498586201786281
pleiades,11,3.5279783610637064e-05,2.6198799006719873e-05,0.7426008984596146
pleiades,12,2.9130705140066573e-05,2.131879704668413e-05,0.7318325095180106
pleiades,13,2.557254184851641e-05,1.854347174350984e-05,0.7251321301322121
pleiades,14,2.6354732868281153e-05,1.8738292831963846e-05,0.7110029506129444
pleiades,15,2.6951121127738665e-05,1.977160305824053e-05,0.7336096693169167
pleiades,16,2.648306773964018e-05,2.0077465208218672e-05,0.7581246026934589
pleiades,17,3.5655668584940886e-05,2.686656833591006e-05,0.7535006186157203
pleiades,18,3.006337152521687e-05,2.2295086048629277e-05,0.7416029845464396
pleiades,19,2.804631993535803e-05,2.09923882360105e-05,0.7484899368043424
pleiades,20,3.1694791986424886e-05,2.3250922474385794e-05,0.7335881076091093
pleiades,21,2.5217591320278857e-05,1.8873245818046616e-05,0.7484158807375706
pleiades,22,2.2041996749882662e-05,1.607116990091654e-05,0.7291158819811592
pleiades,23,3.271707646023312e-05,2.387501942252419e-05,0.72974183532394
pleiades,24,2.957557129261185e-05,2.1226647538003364e-05,0.7177087917590252
pleiades,25,2.58132112969883e-05,1.975882014420864e-05,0.7654537793410445
pleiades,26,3.1318160948129174e-05,2.357877227403926e-05,0.7528785714171305
pleiades,27,2.7638718779987856e-05,2.0744626485445172e-05,0.750563969718653
pleiades,28,2.2258440672077228e-05,1.6630595416262754e-05,0.7471590513133072
pleiades,29,2.1359451916118134e-05,1.5796662571996847e-05,0.7395631046167654
pleiades,30,2.9766614525504955e-05,2.217871851400366e-05,0.7450870334952014
pleiades,31,2.5014670811222438e-05,1.8683844941512428e-05,0.7469154834182433
pleiades,32,2.6265811058646205e-05,1.899427073669835e-05,0.7231556906538319
pleiades,33,2.9584962193289617e-05,2.281071172424081e-05,0.7710238591893376
pleiades,34,2.3729683226728888e-05,1.708246665555116e-05,0.7198775682057834
pleiades,35,1.9786437878252676e-05,1.4498766162039926e-05,0.732762827308879
pleiades,36,2.3061758268638944e-05,1.674382497247162e-05,0.7260428618420258
pleiades,37,2.9496555033707597e-05,2.2197822929383245e-05,0.7525564563053677
