sigma,sigma_plx_mas,sigma_pm_mas_yr,seed,sig_clean_median,sig_noisy_median,sig_nri_high,delta_sig_ratio,fld_clean_median,fld_noisy_median,fld_nri_low,delta_fld_ratio,margin,separated
1.5,0.02,0.05,42,0.20831685512507525,0.20860814384907278,0.21830246743186021,0.00029128872399752925,0.8135025395236064,0.8130921609842382,0.782287242509476,-0.0004103785393682058,0.6044840171351654,True
1.5,0.02,0.05,123,0.2058891717358159,0.20785697673487769,0.21741255855251623,0.001967804999061795,0.8568345704954752,0.8547908459392581,0.8204689056796142,-0.0020437245562170414,0.6469338692043805,True
1.5,0.02,0.05,999,0.19835199653526514,0.19801114458421362,0.20654557227524642,-0.00034085195105151844,0.8325816920054112,0.8297631499915952,0.7977356444638841,-0.002818542013816039,0.6317520054073815,True
1.5,0.02,0.2,42,0.20831685512507525,0.20811793119400102,0.2180955134714488,-0.00019892393107423523,0.8135025395236064,0.8129907305011198,0.7820195591812182,-0.0005118090224865979,0.6048727993071188,True
1.5,0.02,0.2,123,0.2058891717358159,0.2088705351577797,0.21865128865043024,0.002981363421963812,0.8568345704954752,0.8542529939745734,0.8209861519977147,-0.0025815765209017405,0.6453824588167938,True
1.5,0.02,0.2,999,0.19835199653526514,0.19679242285435639,0.20516549991259353,-0.0015595736809087546,0.8325816920054112,0.8320053577531692,0.7995590444128937,-0.0005763342522420167,0.6352129348988128,True
1.5,0.02,1.0,42,0.20831685512507525,0.2147552948599329,0.2235644565458407,0.006438439734857637,0.8135025395236064,0.8136965694487309,0.7802488358075275,0.000194029925124517,0.5989412745887981,True
1.5,0.02,1.0,123,0.2058891717358159,0.21139041025679575,0.2216270084814761,0.005501238520979862,0.8568345704954752,0.8513625638041562,0.8182331035193923,-0.005472006691318976,0.6399721535473605,True
1.5,0.02,1.0,999,0.19835199653526514,0.1991498633596508,0.2075891270154704,0.0007978668243856513,0.8325816920054112,0.8356024963452757,0.8007182408784195,0.0030208043398645135,0.6364526329856249,True
1.5,0.05,0.05,42,0.20831685512507525,0.20898345480062752,0.21778256211045122,0.0006665996755522707,0.8135025395236064,0.8129882273676924,0.77914355797725,-0.0005143121559140207,0.6040047725670649,True
1.5,0.05,0.05,123,0.2058891717358159,0.20887175064388158,0.21915375079221255,0.0029825789080656917,0.8568345704954752,0.8560229180739611,0.8198046051850051,-0.0008116524215140419,0.6471511674300796,True
1.5,0.05,0.05,999,0.19835199653526514,0.19818569414279805,0.2071097078674951,-0.00016630239246709366,0.8325816920054112,0.8302849816106028,0.7960259541897199,-0.002296710394808388,0.6320992874678047,True
1.5,0.05,0.2,42,0.20831685512507525,0.20814796799555307,0.21715239047193147,-0.00016888712952217722,0.8135025395236064,0.8135714204044611,0.7796646015865196,6.888088085466038e-05,0.6054234524089079,True
1.5,0.05,0.2,123,0.2058891717358159,0.2089880094106626,0.21945335478471595,0.0030988376748466995,0.8568345704954752,0.8550959989807341,0.8194837207432009,-0.0017385715147411052,0.6461079895700714,True
1.5,0.05,0.2,999,0.19835199653526514,0.19683605548818167,0.20529169102933106,-0.0015159410470834689,0.8325816920054112,0.8325057761932741,0.7976623068230831,-7.591581213706178e-05,0.6356697207050925,True
1.5,0.05,1.0,42,0.20831685512507525,0.21474639980936006,0.2235223542906329,0.006429544684284805,0.8135025395236064,0.8144909588467888,0.7786647665926886,0.000988419323182388,0.5997445590374287,True
1.5,0.05,1.0,123,0.2058891717358159,0.21177400870883956,0.22188749993834136,0.005884836973023666,0.8568345704954752,0.8516764980311305,0.8133732192522392,-0.005158072464344632,0.639902489322291,True
1.5,0.05,1.0,999,0.19835199653526514,0.19901427953487283,0.20775760154314704,0.0006622829996076884,0.8325816920054112,0.8356518753743857,0.8004036248114494,0.003070183368974466,0.6366375958395128,True
1.5,0.1,0.05,42,0.20831685512507525,0.20888716947493197,0.21787999665170749,0.0005703143498567154,0.8135025395236064,0.8139618902310732,0.778787323712171,0.0004593507074668324,0.6050747207561413,True
1.5,0.1,0.05,123,0.2058891717358159,0.20775985084247883,0.21785941117453986,0.0018706791066629425,0.8568345704954752,0.8565248752764676,0.8212416527561113,-0.00030969521900758856,0.6487650244339888,True
1.5,0.1,0.05,999,0.19835199653526514,0.19859652285118728,0.2075281577395677,0.00024452631592214447,0.8325816920054112,0.8312173515865476,0.7988878611354735,-0.0013643404188635744,0.6326208287353603,True
1.5,0.1,0.2,42,0.20831685512507525,0.2081171728515569,0.2171002161667322,-0.00019968227351835344,0.8135025395236064,0.8137490791822181,0.7789804337105887,0.0002465396586116553,0.6056319063306612,True
