sigma,purity,seed,pure_median,mix_median,delta_median,mix_nri_high,fld_median,fld_nri_low,margin,separated
1.5,1.0,42,0.20804992574914366,0.2080765687545655,2.6643005421850274e-05,0.2188895903886614,0.8183302347708983,0.7806890955844418,0.6102536660163328,True
1.5,1.0,123,0.20656379292697813,0.2061230098004186,-0.00044078312655954077,0.21476585225368416,0.8537681097305254,0.8199892044175229,0.6476450999301069,True
1.5,1.0,999,0.19780971147156062,0.1974819314376659,-0.0003277800338947201,0.20663370211062462,0.8322560115479961,0.7950031026076136,0.6347740801103302,True
1.5,0.9,42,0.20804992574914366,0.25831155737727923,0.05026163162813557,0.2733377698863901,0.8183302347708983,0.7806890955844418,0.5600186773936191,True
1.5,0.9,123,0.20656379292697813,0.25300297295652385,0.046439180029545724,0.2680088628785592,0.8537681097305254,0.8199892044175229,0.6007651367740016,True
1.5,0.9,999,0.19780971147156062,0.2622123199495019,0.06440260847794127,0.27954512045567276,0.8322560115479961,0.7950031026076136,0.5700436915984942,True
1.5,0.8,42,0.20804992574914366,0.38476495616057327,0.1767150304114296,0.4044928940367068,0.8183302347708983,0.7806890955844418,0.433565278610325,True
1.5,0.8,123,0.20656379292697813,0.40004819675188247,0.19348440382490434,0.4237468447220893,0.8537681097305254,0.8199892044175229,0.45371991297864295,True
1.5,0.8,999,0.19780971147156062,0.43087166173008407,0.23306195025852344,0.4570437966936834,0.8322560115479961,0.7950031026076136,0.40138434981791205,True
1.5,0.7,42,0.20804992574914366,0.5677765291506747,0.359726603401531,0.6051465304820962,0.8183302347708983,0.7806890955844418,0.2505537056202236,True
1.5,0.7,123,0.20656379292697813,0.5713695388607178,0.3648057459337397,0.6048881846812268,0.8537681097305254,0.8199892044175229,0.2823985708698076,True
1.5,0.7,999,0.19780971147156062,0.6099160332448756,0.412106321773315,0.650629120166476,0.8322560115479961,0.7950031026076136,0.22233997830312047,True
15.0,1.0,42,0.5998604091596061,0.6040858664638398,0.004225457304233626,0.6365895698319426,0.8183302347708983,0.7806890955844418,0.2142443683070585,True
15.0,1.0,123,0.6119101043180031,0.6095348517428394,-0.002375252575163689,0.6384477386380599,0.8537681097305254,0.8199892044175229,0.24423325798768603,True
15.0,1.0,999,0.5657002536490239,0.5662757395868045,0.0005754859377806731,0.6004629058022345,0.8322560115479961,0.7950031026076136,0.26598027196119156,True
15.0,0.9,42,0.5998604091596061,0.6287463331093051,0.02888592394969891,0.6606784572436012,0.8183302347708983,0.7806890955844418,0.18958390166159322,True
15.0,0.9,123,0.6119101043180031,0.6315363314887112,0.019626227170708166,0.6628614155658532,0.8537681097305254,0.8199892044175229,0.22223177824181417,True
15.0,0.9,999,0.5657002536490239,0.6187250609051428,0.05302480725611891,0.6544269475938282,0.8322560115479961,0.7950031026076136,0.21353095064285332,True
15.0,0.8,42,0.5998604091596061,0.666796327761439,0.0669359186018329,0.706194177358342,0.8183302347708983,0.7806890955844418,0.15153390700945923,True
15.0,0.8,123,0.6119101043180031,0.6785940781429134,0.06668397382491031,0.7142873822410196,0.8537681097305254,0.8199892044175229,0.17517403158761202,True
15.0,0.8,999,0.5657002536490239,0.6737470734575921,0.10804681980856823,0.7157365897549981,0.8322560115479961,0.7950031026076136,0.158508938090404,True
15.0,0.7,42,0.5998604091596061,0.7561152899740817,0.15625488081447558,0.7942441892248032,0.8183302347708983,0.7806890955844418,0.06221494479681655,False
15.0,0.7,123,0.6119101043180031,0.744892072613826,0.13298196829582287,0.7863336915184018,0.8537681097305254,0.8199892044175229,0.10887603711669946,True
15.0,0.7,999,0.5657002536490239,0.7420300339205155,0.1763297802714916,0.7908474785820083,0.8322560115479961,0.7950031026076136,0.09022597762748064,True
